PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
2047,2002-03,00,1610612746,LAC,23.0,59,13,1368.0,203,546,0.372,61,198,0.308,85,124,0.685,98,183,281,52,35,10,64,92,552
2541,2002-03,00,1610612742,DAL,31.0,11,0,89.0,8,35,0.229,1,5,0.2,0,0,0.0,4,4,8,6,3,0,6,11,17
764,2002-03,00,1610612759,SAS,37.0,64,64,1672.0,197,420,0.469,0,0,0.0,152,214,0.71,163,345,508,61,52,111,83,126,546
1944,2002-03,00,1610612741,CHI,27.0,64,18,1355.0,155,315,0.492,3,14,0.214,51,63,0.81,76,124,200,66,62,13,52,120,364
299,2002-03,00,1610612737,ATL,30.0,69,68,2591.0,539,1248,0.432,90,263,0.342,268,306,0.876,86,371,457,205,91,26,248,183,1436
915,2002-03,00,1610612751,NJN,32.0,68,0,1307.0,183,455,0.402,44,132,0.333,68,90,0.756,61,202,263,107,50,31,91,192,478
399,2002-03,00,1610612746,LAC,33.0,70,38,1343.0,125,297,0.421,0,1,0.0,47,58,0.81,53,163,216,69,34,44,66,174,297
147,2002-03,00,1610612741,CHI,30.0,82,82,3353.0,642,1583,0.406,133,359,0.37,399,467,0.854,68,283,351,395,72,23,285,271,1816
990,2002-03,00,1610612759,SAS,28.0,79,13,1933.0,289,630,0.459,2,5,0.4,242,306,0.791,148,358,506,124,57,40,170,206,822
2462,2002-03,00,1610612744,GSW,25.0,3,0,3.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,1,0
2416,2002-03,00,1610612747,LAL,22.0,76,0,872.0,96,244,0.393,19,68,0.279,16,23,0.696,26,68,94,68,10,11,63,71,227
935,2002-03,00,1610612764,WAS,32.0,70,23,1390.0,108,306,0.353,46,140,0.329,53,69,0.768,43,165,208,72,70,7,55,130,315
717,2002-03,00,1610612757,POR,38.0,78,1,1209.0,172,361,0.476,3,6,0.5,129,164,0.787,88,247,335,142,61,49,75,141,476
2422,2002-03,00,1610612755,PHI,23.0,64,1,504.0,48,116,0.414,10,31,0.323,26,35,0.743,16,43,59,47,17,6,29,53,132
2066,2002-03,00,1610612747,LAL,25.0,13,1,77.0,10,24,0.417,0,0,0.0,2,2,1.0,10,13,23,4,0,5,2,13,22
2441,2002-03,00,1610612749,MIL,20.0,5,0,9.0,0,2,0.0,0,0,0.0,0,0,0.0,1,1,2,1,1,0,0,0,0
2143,2002-03,00,1610612765,DET,26.0,9,0,36.0,0,5,0.0,0,0,0.0,0,0,0.0,4,2,6,8,5,0,2,3,0
2219,2002-03,00,1610612753,ORL,24.0,75,4,1024.0,64,207,0.309,13,44,0.295,53,78,0.679,64,120,184,65,45,12,39,91,194
2261,2002-03,00,1610612743,DEN,22.0,22,6,420.0,51,165,0.309,5,28,0.179,16,23,0.696,12,23,35,53,18,2,36,30,123
2261,2002-03,00,1610612755,PHI,22.0,17,0,79.0,4,18,0.222,0,0,0.0,1,2,0.5,4,4,8,15,2,0,7,6,9
2261,2002-03,00,0,TOT,22.0,39,6,499.0,55,183,0.301,5,28,0.179,17,25,0.68,16,27,43,68,20,2,43,36,132
2453,2002-03,00,1610612743,DEN,27.0,27,0,256.0,29,93,0.312,4,26,0.154,21,29,0.724,9,16,25,22,14,1,21,33,83
2243,2002-03,00,1610612751,NJN,25.0,59,7,724.0,68,169,0.402,14,39,0.359,30,36,0.833,40,101,141,46,16,18,46,77,180
1738,2002-03,00,1610612760,SEA,26.0,45,4,448.0,41,107,0.383,0,0,0.0,12,21,0.571,34,39,73,23,14,5,25,62,94
216,2002-03,00,1610612747,LAL,37.0,72,0,900.0,101,261,0.387,38,109,0.349,10,15,0.667,20,99,119,103,32,13,54,62,250
2321,2002-03,00,1610612737,ATL,25.0,2,0,6.0,0,4,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0
2250,2002-03,00,1610612764,WAS,23.0,36,2,378.0,44,112,0.393,0,5,0.0,32,35,0.914,33,44,77,20,10,3,8,51,120
1730,2002-03,00,1610612755,PHI,27.0,77,9,1384.0,182,331,0.55,0,0,0.0,97,161,0.602,136,230,366,19,47,53,62,176,461
1073,2002-03,00,1610612750,MIN,32.0,26,0,142.0,27,50,0.54,0,0,0.0,27,45,0.6,18,13,31,4,6,1,9,31,81
2447,2002-03,00,1610612751,NJN,23.0,36,0,274.0,39,103,0.379,7,25,0.28,7,10,0.7,8,23,31,14,14,3,20,31,92
693,2002-03,00,1610612750,MIN,27.0,54,21,1117.0,151,328,0.46,0,2,0.0,102,131,0.779,111,159,270,38,14,55,43,171,404
727,2002-03,00,1610612755,PHI,30.0,82,82,3109.0,361,799,0.452,7,32,0.219,325,379,0.858,71,230,301,544,133,11,194,235,1054
84,2002-03,00,1610612752,NYK,32.0,74,73,2858.0,454,1127,0.403,134,360,0.372,173,218,0.794,45,240,285,332,102,22,172,134,1215
711,2002-03,00,1610612764,WAS,28.0,70,70,2748.0,491,1201,0.409,71,245,0.29,455,518,0.878,61,197,258,316,65,28,193,130,1508
1735,2002-03,00,1610612748,MIA,27.0,79,6,1594.0,185,427,0.433,0,0,0.0,71,134,0.53,211,343,554,24,45,40,69,169,441
2052,2002-03,00,1610612762,UTA,22.0,61,8,761.0,114,284,0.401,4,12,0.333,47,68,0.691,22,63,85,40,22,8,49,57,279
1565,2002-03,00,1610612739,CLE,28.0,47,0,251.0,14,37,0.378,0,0,0.0,8,12,0.667,19,36,55,6,2,15,10,42,36
304,2002-03,00,1610612762,UTA,41.0,82,82,2273.0,309,640,0.483,29,80,0.363,237,287,0.826,51,150,201,629,137,16,182,184,884
978,2002-03,00,1610612758,SAC,26.0,72,72,2451.0,497,1034,0.481,155,406,0.382,231,264,0.875,61,336,397,141,72,5,101,143,1380
757,2002-03,00,1610612757,POR,29.0,59,27,1314.0,156,415,0.376,44,114,0.386,53,67,0.791,40,115,155,204,39,6,82,67,409
2405,2002-03,00,1610612756,PHX,20.0,82,71,2570.0,392,830,0.472,2,10,0.2,320,484,0.661,250,471,721,78,62,87,189,269,1106
1065,2002-03,00,1610612754,IND,29.0,71,10,1275.0,163,380,0.429,62,160,0.388,70,87,0.805,23,122,145,209,38,7,98,111,458
1110,2002-03,00,1610612742,DAL,32.0,4,0,13.0,2,5,0.4,0,0,0.0,0,0,0.0,5,2,7,0,0,0,1,1,4
393,2002-03,00,1610612750,MIN,36.0,47,8,956.0,120,278,0.432,1,11,0.091,79,107,0.738,20,75,95,215,46,6,76,55,320
1743,2002-03,00,1610612738,BOS,23.0,26,0,139.0,14,56,0.25,4,16,0.25,0,2,0.0,8,20,28,7,6,3,9,24,32
682,2002-03,00,1610612744,GSW,30.0,55,0,1130.0,135,328,0.412,28,85,0.329,103,148,0.696,58,109,167,177,45,2,82,108,401
2031,2002-03,00,1610612763,MEM,23.0,67,26,1478.0,235,489,0.481,0,2,0.0,177,245,0.722,114,270,384,45,55,104,99,152,647
1887,2002-03,00,1610612750,MIN,26.0,52,42,1834.0,351,729,0.481,61,145,0.421,150,173,0.867,53,188,241,136,44,22,87,123,913
1891,2002-03,00,1610612737,ATL,25.0,81,81,3084.0,488,1141,0.428,160,431,0.371,259,292,0.887,37,242,279,600,126,14,249,175,1395
2041,2002-03,00,1610612764,WAS,25.0,38,0,514.0,61,124,0.492,0,0,0.0,60,94,0.638,70,95,165,3,8,23,33,66,182
